worker_id,week,age,gender,region,partner_tier,worker_type,earnings,jobs_completed,repeat_client_share,avg_job_value,hours_worked,dispute_count,tips_share,customer_rating,cancellation_rate,peak_hour_jobs_share,transaction_count,gap_days,nova_prev_score,nova_score,catboost_predicted_score,light_gbm_predicted_score,lstm_predicted_score
0,4,33,M,North,silver,merchant,1416.67,7,0.93,172.023,16,0,0.26,4.916884598915901,0.0706316716920809,0.68,4,1,60.0,66.47228460155628,77.28398360066555,73.15986319691737,
0,5,33,M,North,silver,merchant,1486.81,12,0.39,105.315,16,0,0.19,4.529593806101373,0.0826624423960693,0.38,10,1,66.47228460155628,67.55743665205762,69.79768364525574,68.97640519325901,
0,6,33,M,North,silver,merchant,1608.1,14,0.22,97.631,25,0,0.14,2.1033545881710247,0.0455583413464555,0.34,18,1,67.55743665205762,65.0929223549547,68.13150092172233,66.41383177900681,
0,7,33,M,North,silver,merchant,1498.12,8,0.18,159.171,9,0,0.16,3.9174505188408655,0.0276637065458699,0.52,7,4,65.0929223549547,63.78754879792025,71.48791838732583,68.37426867805388,
0,8,33,M,North,silver,merchant,1779.19,11,0.37,137.479,14,0,0.35,4.457017817880093,0.1170458028374416,0.34,17,2,63.78754879792025,66.90259212352558,68.8975348931901,70.6660357203659,
0,9,33,M,North,silver,merchant,1564.29,13,0.44,102.2805,25,0,0.36,3.929828645551341,0.0788036719156761,0.1,12,0,66.90259212352558,68.35824409981014,70.38891654107702,70.86211855961601,
0,10,33,M,North,silver,merchant,1041.78,5,0.63,177.106,11,0,0.03,3.807561402482939,0.0433073308558957,0.11,8,3,68.35824409981014,65.49807054868536,75.15648564385161,70.20588152044942,
0,11,33,M,North,silver,merchant,1742.63,6,0.33,246.874,14,0,0.22,3.9354284122204506,0.0293048339170515,0.71,9,2,65.49807054868536,68.0506465297225,70.40259940312389,70.52299807650756,
0,12,33,M,North,silver,merchant,1444.79,10,0.28,122.808,20,0,0.0,1.8153919618380028,0.1195143495981209,0.73,10,1,68.0506465297225,63.738190826164654,63.88771619097112,64.64105199795809,
0,13,33,M,North,silver,merchant,1751.99,8,0.44,186.15,16,0,0.42,4.503516215036624,0.0521780635467537,0.22,6,1,63.738190826164654,67.77089233588916,70.52696732212951,71.40318804928093,
0,14,33,M,North,silver,merchant,1668.86,7,0.22,202.6485,11,0,0.19,2.709852999692528,0.0307375748970081,0.25,10,4,67.77089233588916,64.9030768609681,67.59958819450489,66.63864818632734,
0,15,33,M,North,silver,merchant,1838.56,14,0.13,111.6305,22,0,0.1,3.474212931757912,0.0568110363438892,0.66,21,0,64.9030768609681,66.85424198568072,71.51103257672497,71.46434791840366,
0,16,33,M,North,silver,merchant,1960.88,11,0.1,151.521,18,0,0.49,4.139197253878174,0.0685756657828037,0.11,20,1,66.85424198568072,69.03774297918336,70.04043140316615,70.52599408112061,76.79522
0,17,33,M,North,silver,merchant,1735.47,8,0.76,184.3905,17,0,0.18,4.946799750151852,0.0621232894815249,0.25,11,1,69.03774297918336,73.00233624284144,74.06233957827531,73.11873823787492,77.06559
